RESOLUTION:3120,2080
1753619465.884,455,1575
1753619465.884,455,1576
1753619465.915,454,1576
1753619465.931,454,1577
1753619465.947,452,1578
1753619465.962,452,1579
1753619465.962,451,1579
1753619465.978,451,1580
1753619465.978,450,1581
1753619465.994,449,1582
1753619466.008,449,1584
1753619466.011,449,1585
1753619466.011,448,1586
1753619466.025,447,1586
1753619466.042,447,1587
1753619466.042,446,1588
1753619466.057,446,1589
1753619466.088,445,1590
1753619466.104,445,1592
1753619466.121,442,1593
1753619466.121,442,1594
1753619466.136,441,1594
1753619466.147,441,1595
1753619466.152,440,1595
1753619466.167,440,1596
1753619466.167,439,1597
1753619466.182,439,1599
1753619466.182,437,1599
1753619466.205,436,1600
1753619466.214,436,1601
1753619466.214,435,1601
1753619466.231,435,1602
1753619466.245,434,1603
1753619466.245,433,1604
1753619466.245,433,1605
1753619466.261,432,1605
1753619466.277,432,1606
1753619466.287,431,1608
1753619466.296,429,1609
1753619466.309,429,1610
1753619466.324,428,1611
1753619466.324,427,1611
1753619466.333,426,1612
1753619466.34,426,1613
1753619466.357,426,1614
1753619466.372,425,1616
1753619466.372,424,1617
1753619466.401,423,1618
1753619466.405,422,1619
1753619466.466,420,1619
1753619466.466,419,1621
1753619466.482,418,1622
1753619466.497,418,1624
1753619466.513,417,1624
1753619466.529,416,1625
1753619466.576,415,1625
1753619466.576,415,1626
1753619466.591,414,1626
1753619466.607,414,1627
1753619466.607,412,1627
1753619466.624,411,1627
1753619466.638,411,1628
1753619466.638,410,1628
1753619466.638,410,1629
1753619466.654,409,1630
1753619466.67,408,1630
1753619466.685,408,1632
1753619466.685,407,1632
1753619466.701,406,1633
1753619466.716,404,1633
1753619466.732,404,1634
1753619466.748,403,1634
1753619466.779,402,1634
1753619466.794,402,1635
1753619466.826,401,1635
1753619466.857,400,1635
1753619466.873,399,1635
1753619466.888,399,1636
1753619466.904,398,1636
1753619466.935,396,1636
1753619466.966,395,1637
1753619466.966,394,1637
1753619466.998,393,1637
1753619467.013,392,1637
1753619467.044,391,1637
1753619467.044,390,1637
1753619467.091,389,1637
1753619467.091,385,1639
