RESOLUTION:3120,2080
1753620148.007,2316,1462
1753620148.03,2316,1462
1753620148.081,2315,1462
1753620148.116,2315,1462
1753620148.131,2315,1462
1753620148.199,2315,1462
1753620148.217,2314,1462
1753620148.289,2314,1462
1753620148.312,2314,1462
1753620148.365,2313,1462
1753620148.432,2311,1462
1753620148.534,2310,1462
1753620148.597,2309,1462
1753620148.597,2308,1462
1753620148.639,2308,1462
1753620148.675,2308,1462
1753620148.704,2308,1462
1753620148.748,2308,1461
1753620148.748,2308,1461
1753620148.799,2308,1460
1753620148.829,2307,1460
1753620148.88,2306,1460
1753620148.931,2306,1459
1753620148.951,2306,1458
1753620148.984,2305,1458
1753620149.031,2303,1458
1753620149.109,2302,1458
1753620149.118,2302,1458
1753620149.123,2302,1458
1753620149.13,2302,1459
1753620149.151,2302,1459
1753620149.152,2302,1459
1753620149.222,2304,1459
1753620149.227,2304,1460
1753620149.26,2304,1461
1753620149.27,2305,1461
1753620149.298,2306,1461
1753620149.303,2306,1462
1753620149.313,2307,1462
1753620149.323,2307,1463
1753620149.338,2308,1465
1753620149.371,2309,1465
1753620149.371,2310,1465
1753620149.42,2310,1466
1753620149.431,2312,1466
1753620149.471,2312,1466
1753620149.481,2313,1466
1753620149.496,2314,1466
1753620149.516,2314,1466
1753620149.531,2314,1464
1753620149.533,2314,1463
1753620149.551,2314,1462
1753620149.575,2313,1462
1753620149.579,2313,1462
1753620149.583,2313,1461
1753620149.62,2313,1460
1753620149.648,2313,1459
1753620149.686,2311,1459
1753620149.7,2311,1458
1753620149.721,2310,1458
1753620149.733,2310,1456
1753620149.762,2309,1456
1753620149.788,2308,1456
1753620149.814,2308,1455
1753620149.853,2307,1455
1753620149.871,2306,1455
1753620149.915,2306,1455
1753620149.931,2305,1455
1753620149.938,2305,1457
1753620149.965,2305,1458
1753620149.979,2305,1459
1753620150.015,2305,1460
1753620150.045,2305,1461
1753620150.081,2306,1461
1753620150.086,2307,1461
1753620150.098,2307,1461
1753620150.101,2307,1462
1753620150.109,2307,1462
1753620150.148,2307,1463
1753620150.148,2308,1463
1753620150.173,2309,1463
1753620150.183,2310,1463
1753620150.185,2310,1465
1753620150.23,2312,1465
1753620150.286,2313,1465
1753620150.379,2314,1464
1753620150.393,2314,1463
1753620150.405,2314,1462
1753620150.422,2315,1462
1753620150.429,2315,1461
1753620150.434,2315,1460
1753620150.457,2316,1459
1753620150.467,2317,1458
1753620150.472,2317,1456
1753620150.505,2318,1456
1753620150.538,2318,1455
1753620150.569,2318,1454
1753620150.584,2318,1453
1753620150.601,2317,1453
1753620150.649,2316,1453
1753620150.651,2316,1452
1753620150.656,2315,1452
1753620150.682,2314,1452
1753620150.696,2313,1452
1753620150.701,2311,1452
1753620150.742,2311,1452
1753620150.742,2310,1452
1753620150.758,2309,1452
1753620150.775,2308,1452
1753620150.821,2307,1452
1753620150.885,2306,1453
1753620150.915,2306,1454
1753620150.948,2306,1455
1753620150.951,2306,1457
1753620151.011,2307,1458
1753620151.011,2307,1459
1753620151.026,2307,1460
1753620151.026,2307,1461
1753620151.041,2308,1461
1753620151.057,2309,1461
1753620151.057,2309,1462
1753620151.073,2310,1462
1753620151.089,2310,1463
1753620151.105,2310,1465
1753620151.131,2312,1465
1753620151.137,2313,1465
1753620151.168,2314,1465
1753620151.168,2315,1465
1753620151.232,2316,1465
1753620151.253,2316,1464
1753620151.273,2317,1464
1753620151.3,2317,1463
1753620151.319,2317,1462
1753620151.321,2318,1462
1753620151.336,2318,1461
1753620151.336,2318,1461
1753620151.359,2318,1460
1753620151.39,2318,1459
1753620151.39,2318,1458
1753620151.421,2317,1458
1753620151.453,2317,1456
1753620151.455,2316,1456
1753620151.489,2315,1456
1753620151.501,2314,1456
1753620151.532,2313,1456
1753620151.564,2311,1456
1753620151.581,2312,1456
1753620151.596,2311,1456
1753620151.773,2311,1457
1753620151.898,2312,1457
1753620151.945,2313,1457
1753620152.009,2313,1457
1753620152.04,2313,1458
1753620152.056,2313,1458
1753620152.076,2314,1459
1753620152.081,2315,1459
