RESOLUTION:3120,2080
1753621478.206,1816,889
1753621478.364,1816,888
1753621478.38,1816,888
1753621478.412,1815,887
1753621478.428,1815,886
1753621478.453,1814,886
1753621478.479,1813,886
1753621478.537,1813,885
1753621478.571,1811,885
1753621478.586,1810,885
1753621478.618,1809,885
1753621478.697,1809,884
1753621478.713,1808,884
1753621478.763,1807,883
1753621478.775,1806,883
1753621478.807,1806,882
1753621478.838,1805,882
1753621478.854,1805,880
1753621478.869,1803,880
1753621478.916,1802,880
1753621478.916,1802,879
1753621478.947,1801,879
1753621478.963,1800,879
1753621478.994,1799,879
1753621478.994,1799,878
1753621479.025,1798,878
1753621479.041,1797,878
1753621479.057,1797,877
1753621479.088,1795,877
1753621479.103,1794,877
1753621479.103,1794,876
1753621479.119,1793,876
1753621479.135,1792,876
1753621479.135,1792,875
1753621479.15,1791,875
1753621479.15,1790,875
1753621479.166,1790,874
1753621479.182,1789,874
1753621479.182,1788,873
1753621479.213,1786,873
1753621479.228,1785,873
1753621479.228,1784,873
1753621479.251,1783,871
1753621479.277,1782,871
1753621479.277,1781,870
1753621479.291,1780,870
1753621479.323,1778,870
1753621479.386,1777,870
1753621479.386,1777,869
1753621479.402,1776,869
1753621479.402,1775,869
1753621479.433,1774,869
1753621479.433,1774,868
1753621479.449,1773,868
1753621479.476,1772,868
1753621479.496,1770,868
1753621479.522,1769,867
1753621479.543,1768,867
1753621479.59,1767,867
1753621479.653,1766,867
1753621479.654,1766,866
1753621479.674,1765,866
1753621479.674,1764,866
1753621479.681,1762,866
1753621479.684,1762,865
1753621479.7,1761,865
1753621479.715,1760,863
1753621479.731,1759,863
1753621479.762,1758,863
1753621479.793,1757,862
1753621479.793,1756,862
1753621479.793,1755,862
1753621479.809,1753,862
1753621479.824,1752,862
1753621479.856,1751,862
1753621479.875,1750,861
1753621479.875,1749,861
1753621479.887,1748,861
1753621479.918,1747,861
1753621479.934,1745,860
1753621479.95,1744,860
1753621479.965,1743,860
1753621479.981,1742,860
1753621479.997,1741,860
1753621480.012,1740,859
1753621480.059,1739,858
1753621480.059,1737,858
1753621480.09,1736,857
1753621480.106,1735,857
1753621480.121,1733,857
1753621480.121,1732,855
1753621480.137,1730,855
1753621480.137,1728,855
1753621480.137,1725,854
1753621480.153,1723,854
1753621480.173,1722,854
1753621480.174,1719,854
1753621480.178,1718,854
1753621480.184,1717,854
1753621480.19,1716,854
1753621480.2,1716,853
1753621480.207,1715,853
1753621480.207,1714,853
1753621480.222,1712,853
1753621480.233,1711,853
1753621480.243,1710,852
1753621480.249,1709,852
1753621480.257,1708,852
1753621480.263,1707,852
1753621480.263,1706,852
1753621480.279,1704,852
1753621480.279,1703,852
1753621480.295,1702,852
1753621480.295,1702,851
1753621480.31,1701,851
1753621480.31,1700,851
1753621480.326,1699,851
1753621480.342,1698,851
1753621480.342,1696,851
1753621480.373,1695,851
1753621480.373,1694,851
1753621480.39,1693,851
1753621480.395,1692,851
1753621480.395,1692,850
1753621480.405,1691,850
1753621480.421,1690,850
1753621480.439,1688,850
1753621480.452,1687,850
1753621480.457,1686,850
1753621480.469,1685,850
1753621480.484,1684,850
1753621480.499,1683,850
1753621480.515,1682,850
1753621480.531,1681,850
1753621480.531,1679,850
1753621480.548,1678,850
1753621480.548,1678,848
1753621480.562,1677,848
1753621480.578,1676,848
1753621480.578,1675,848
1753621480.594,1674,848
1753621480.594,1673,848
1753621480.614,1671,848
1753621480.626,1670,848
1753621480.626,1669,848
1753621480.643,1668,848
1753621480.658,1667,848
1753621480.658,1666,848
1753621480.671,1665,848
1753621480.677,1662,848
1753621480.677,1661,847
1753621480.689,1659,847
1753621480.689,1657,847
1753621480.706,1655,847
1753621480.708,1654,847
1753621480.708,1652,847
1753621480.721,1650,847
1753621480.737,1649,847
1753621480.737,1648,847
1753621480.737,1647,847
1753621480.753,1646,847
1753621480.768,1645,847
1753621480.773,1644,847
1753621480.784,1642,847
1753621480.784,1641,847
1753621480.8,1640,847
1753621480.815,1639,847
1753621480.838,1638,847
1753621480.863,1637,847
1753621480.879,1636,847
1753621480.888,1634,847
1753621480.896,1633,847
1753621480.91,1632,847
1753621480.926,1630,847
1753621480.927,1629,847
1753621480.942,1628,847
1753621480.973,1626,847
1753621480.993,1625,847
1753621480.993,1624,847
1753621481.005,1623,847
1753621481.02,1621,847
1753621481.02,1620,847
1753621481.043,1618,847
1753621481.052,1617,847
