RESOLUTION:3120,2080
1753621093.535,1495,1225
1753621093.707,1495,1225
1753621093.738,1494,1225
1753621093.769,1494,1224
1753621093.8,1494,1222
1753621093.816,1493,1222
1753621093.816,1493,1221
1753621093.85,1492,1221
1753621093.864,1492,1220
1753621093.895,1491,1220
1753621093.911,1491,1219
1753621093.957,1491,1218
1753621093.957,1490,1218
1753621093.973,1490,1217
1753621093.973,1488,1217
1753621093.989,1487,1217
1753621094.004,1487,1216
1753621094.067,1486,1214
1753621094.082,1485,1214
1753621094.098,1485,1213
1753621094.114,1484,1213
1753621094.161,1483,1213
1753621094.176,1482,1212
1753621094.176,1481,1212
1753621094.192,1479,1211
1753621094.192,1478,1210
1753621094.207,1477,1209
1753621094.239,1476,1208
1753621094.254,1475,1208
1753621094.286,1474,1206
1753621094.301,1473,1206
1753621094.301,1471,1205
1753621094.317,1470,1204
1753621094.317,1469,1203
1753621094.317,1468,1203
1753621094.348,1467,1203
1753621094.348,1467,1202
1753621094.364,1466,1202
1753621094.395,1465,1202
1753621094.442,1465,1201
1753621094.457,1463,1201
1753621094.473,1462,1201
1753621094.489,1462,1200
1753621094.52,1461,1200
1753621094.535,1460,1199
1753621094.551,1459,1199
1753621094.567,1458,1197
1753621094.598,1457,1197
1753621094.598,1455,1197
1753621094.598,1455,1196
1753621094.615,1454,1196
1753621094.632,1453,1195
1753621094.632,1452,1195
1753621094.646,1452,1194
1753621094.662,1451,1194
1753621094.668,1450,1194
1753621094.672,1449,1193
1753621094.689,1448,1193
1753621094.697,1446,1193
1753621094.71,1446,1192
1753621094.715,1445,1192
1753621094.756,1444,1192
1753621094.79,1443,1191
1753621094.806,1442,1191
1753621094.816,1441,1189
1753621094.823,1440,1189
1753621094.837,1438,1188
1753621094.841,1437,1188
1753621094.857,1436,1188
1753621094.857,1436,1187
1753621094.865,1435,1187
1753621094.881,1434,1187
1753621094.898,1433,1187
1753621094.898,1433,1186
1753621094.913,1432,1186
1753621094.913,1430,1185
1753621094.929,1429,1185
1753621094.932,1428,1185
1753621094.932,1428,1184
1753621094.943,1427,1184
1753621094.943,1426,1183
1753621094.96,1425,1181
1753621094.96,1424,1181
1753621094.975,1423,1181
1753621094.991,1423,1180
1753621094.991,1421,1180
1753621095.006,1420,1180
1753621095.022,1419,1179
1753621095.038,1418,1179
1753621095.038,1417,1178
1753621095.053,1416,1178
1753621095.053,1415,1178
1753621095.069,1413,1177
1753621095.095,1412,1177
1753621095.1,1411,1177
1753621095.1,1411,1176
1753621095.117,1409,1176
1753621095.117,1408,1176
1753621095.117,1406,1176
1753621095.132,1405,1176
1753621095.132,1404,1175
1753621095.148,1403,1175
1753621095.148,1402,1175
1753621095.163,1401,1173
1753621095.179,1400,1173
1753621095.195,1398,1172
1753621095.199,1397,1172
1753621095.211,1396,1172
1753621095.228,1395,1171
1753621095.242,1394,1171
1753621095.242,1394,1170
1753621095.242,1393,1170
1753621095.258,1392,1169
1753621095.274,1391,1169
1753621095.274,1389,1168
1753621095.305,1388,1167
1753621095.321,1387,1167
1753621095.321,1386,1166
1753621095.334,1385,1166
1753621095.338,1384,1166
1753621095.338,1384,1164
1753621095.353,1383,1164
1753621095.353,1383,1163
1753621095.368,1381,1162
1753621095.368,1380,1162
1753621095.368,1379,1162
1753621095.384,1379,1161
1753621095.384,1378,1161
1753621095.4,1377,1160
1753621095.415,1376,1160
1753621095.431,1375,1159
1753621095.447,1373,1158
1753621095.447,1372,1158
1753621095.462,1371,1156
1753621095.478,1370,1155
1753621095.478,1369,1155
1753621095.493,1368,1154
1753621095.509,1367,1153
1753621095.527,1365,1153
1753621095.531,1364,1153
1753621095.531,1364,1152
1753621095.54,1363,1152
1753621095.556,1363,1151
1753621095.556,1362,1151
1753621095.573,1362,1150
1753621095.573,1361,1150
1753621095.588,1360,1150
1753621095.588,1360,1148
1753621095.603,1359,1148
1753621095.616,1358,1148
1753621095.619,1358,1147
1753621095.619,1356,1147
1753621095.634,1355,1146
1753621095.652,1354,1146
1753621095.681,1353,1146
1753621095.681,1353,1145
1753621095.713,1352,1145
1753621095.713,1352,1144
1753621095.728,1351,1144
1753621095.728,1351,1143
1753621095.744,1350,1142
1753621095.759,1350,1140
1753621095.759,1348,1140
1753621095.791,1347,1140
1753621095.822,1347,1139
1753621095.853,1347,1138
1753621095.853,1346,1138
1753621095.869,1346,1137
1753621095.884,1346,1136
1753621095.884,1346,1135
1753621095.9,1346,1134
1753621095.9,1345,1134
1753621095.923,1345,1133
1753621095.932,1345,1131
1753621095.932,1345,1130
1753621095.949,1344,1130
1753621095.949,1344,1129
1753621095.963,1344,1128
1753621095.979,1344,1127
1753621095.995,1344,1126
1753621096.041,1344,1125
1753621096.041,1343,1118
1753621096.057,1343,1117
1753621096.088,1343,1115
1753621096.088,1342,1115
1753621096.104,1342,1114
1753621096.135,1342,1113
1753621096.135,1342,1112
1753621096.166,1342,1111
1753621096.182,1342,1110
1753621096.198,1342,1109
1753621096.213,1342,1107
1753621096.236,1342,1106
1753621096.245,1342,1105
1753621096.262,1342,1104
1753621096.277,1342,1103
1753621096.293,1342,1102
1753621096.308,1342,1102
1753621096.355,1342,1101
1753621096.386,1342,1100
1753621096.418,1342,1098
1753621096.418,1342,1097
1753621096.433,1342,1096
1753621096.449,1342,1095
1753621096.464,1342,1094
1753621096.464,1343,1093
1753621096.496,1343,1092
1753621096.511,1343,1090
1753621096.527,1343,1089
1753621096.527,1343,1088
1753621096.543,1343,1087
1753621096.543,1343,1085
1753621096.558,1343,1082
1753621096.574,1343,1080
1753621096.574,1343,1079
1753621096.574,1343,1078
1753621096.589,1343,1077
1753621096.589,1343,1075
1753621096.605,1343,1074
1753621096.605,1343,1073
1753621096.621,1343,1072
1753621096.621,1343,1071
1753621096.648,1342,1070
1753621096.659,1342,1069
1753621096.668,1342,1068
1753621096.668,1342,1066
1753621096.7,1342,1065
1753621096.714,1342,1064
1753621096.717,1342,1063
1753621096.719,1342,1062
1753621096.735,1340,1061
1753621096.746,1340,1060
1753621096.749,1340,1058
1753621096.768,1339,1057
1753621096.778,1339,1056
