RESOLUTION:3120,2080
1753619512.806,1191,1420
1753619512.898,1190,1420
1753619512.981,1189,1420
1753619513.005,1188,1420
1753619513.053,1188,1420
1753619513.076,1188,1421
1753619513.086,1188,1422
1753619513.102,1188,1422
1753619513.119,1188,1424
1753619513.134,1188,1425
1753619513.147,1189,1425
1753619513.165,1189,1426
1753619513.211,1189,1427
1753619513.229,1189,1428
1753619513.247,1189,1429
1753619513.275,1189,1430
1753619513.278,1190,1430
1753619513.303,1190,1431
1753619513.324,1190,1433
1753619513.34,1191,1433
1753619513.369,1191,1434
1753619513.385,1192,1434
1753619513.416,1194,1434
1753619513.464,1195,1434
1753619513.48,1195,1435
1753619513.495,1196,1435
1753619513.511,1197,1435
1753619513.511,1198,1435
1753619513.543,1199,1435
1753619513.565,1200,1435
1753619513.582,1202,1435
1753619513.591,1203,1436
1753619513.622,1204,1436
1753619513.63,1205,1436
1753619513.647,1206,1436
1753619513.665,1207,1436
1753619513.682,1208,1436
1753619513.686,1210,1436
1753619513.696,1211,1436
1753619513.702,1212,1436
1753619513.718,1213,1436
1753619513.722,1214,1436
1753619513.732,1215,1436
1753619513.74,1216,1436
1753619513.746,1217,1436
1753619513.748,1219,1436
1753619513.766,1220,1436
1753619513.766,1221,1436
1753619513.78,1222,1436
1753619513.796,1223,1435
1753619513.816,1224,1435
1753619513.816,1225,1435
1753619513.827,1227,1434
1753619513.844,1228,1432
1753619513.848,1229,1432
1753619513.861,1230,1432
1753619513.861,1231,1432
1753619513.879,1232,1431
1753619513.881,1233,1431
1753619513.893,1235,1431
1753619513.907,1236,1431
1753619513.909,1236,1430
1753619513.915,1237,1430
1753619513.916,1239,1429
1753619513.923,1240,1429
1753619513.93,1242,1428
1753619513.938,1243,1428
1753619513.938,1244,1427
1753619513.954,1245,1427
1753619513.963,1247,1427
1753619513.969,1249,1426
1753619513.969,1250,1426
1753619513.983,1251,1426
1753619513.987,1252,1424
1753619513.987,1253,1424
1753619514.003,1254,1424
1753619514.012,1255,1424
1753619514.017,1257,1423
1753619514.033,1258,1423
1753619514.033,1259,1423
1753619514.049,1260,1423
1753619514.049,1261,1423
1753619514.065,1262,1422
1753619514.078,1263,1422
1753619514.081,1265,1422
