RESOLUTION:3120,2080
1753619102.464,2061,2035
1753619102.464,2039,2035
1753619102.477,2013,2032
1753619102.48,1985,2022
1753619102.493,1954,2007
1753619102.493,1932,1991
1753619102.493,1909,1976
1753619102.51,1889,1955
1753619102.51,1870,1932
1753619102.525,1847,1895
1753619102.53,1830,1854
1753619102.541,1815,1810
1753619102.541,1803,1756
1753619102.556,1793,1704
1753619102.556,1787,1642
1753619102.572,1787,1582
1753619102.572,1787,1517
1753619102.572,1792,1449
1753619102.588,1803,1376
1753619102.588,1813,1308
1753619102.603,1827,1244
1753619102.603,1843,1184
1753619102.619,1852,1142
1753619102.619,1866,1103
1753619102.619,1872,1078
1753619102.641,1881,1054
1753619102.641,1888,1037
1753619102.651,1894,1022
1753619102.651,1897,1013
1753619102.666,1901,1007
1753619102.666,1902,1006
1753619102.682,1903,1003
1753619102.729,1903,1003
1753619102.761,1903,1004
1753619102.761,1904,1004
1753619102.841,1907,1004
1753619102.841,1909,1004
1753619102.855,1915,1004
1753619102.855,1921,1004
1753619102.87,1927,1004
1753619102.886,1938,1002
1753619102.886,1950,1000
1753619102.886,1961,996
1753619102.886,1975,994
1753619102.903,1989,990
1753619102.922,2003,984
1753619102.923,2015,980
1753619102.928,2029,974
1753619102.934,2043,970
1753619102.942,2057,964
1753619102.949,2069,960
1753619102.949,2081,954
1753619102.971,2090,951
1753619102.971,2099,947
1753619102.971,2103,944
1753619102.98,2108,943
1753619102.98,2109,942
1753619102.997,2111,942
1753619102.997,2111,940
1753619103.012,2111,939
1753619103.012,2110,939
1753619103.027,2107,936
1753619103.043,2103,933
1753619103.043,2094,928
1753619103.043,2082,924
1753619103.059,2071,921
1753619103.059,2057,919
1753619103.075,2041,919
1753619103.075,2022,917
1753619103.09,2003,918
1753619103.092,1982,918
1753619103.092,1961,920
1753619103.106,1945,920
1753619103.114,1928,922
1753619103.122,1914,924
1753619103.122,1900,928
1753619103.137,1889,930
1753619103.142,1880,933
1753619103.153,1874,935
1753619103.162,1867,938
1753619103.162,1861,941
1753619103.17,1856,944
1753619103.563,1842,944
1753619103.563,1823,944
1753619103.58,1801,941
1753619103.583,1777,932
1753619103.594,1746,925
1753619103.594,1707,911
1753619103.604,1661,893
1753619103.611,1622,879
1753619103.623,1581,861
1753619103.637,1546,845
1753619103.64,1504,824
1753619103.645,1469,808
1753619103.645,1436,786
1753619103.659,1409,769
1753619103.662,1380,745
1753619103.679,1360,727
1753619103.68,1344,710
1753619103.686,1331,690
1753619103.689,1320,670
1753619103.7,1312,653
1753619103.705,1306,639
1753619103.722,1302,625
1753619103.722,1298,616
1753619103.722,1296,609
1753619103.735,1295,605
1753619103.742,1294,601
1753619103.755,1294,598
1753619103.755,1294,596
1753619103.755,1294,593
1753619103.766,1295,590
1753619103.766,1297,587
1753619103.782,1300,585
1753619103.782,1302,580
1753619103.807,1305,577
1753619103.808,1310,573
1753619103.813,1315,568
1753619103.814,1318,563
1753619103.822,1324,560
1753619103.83,1329,556
1753619103.836,1333,551
1753619103.845,1340,548
1753619103.845,1349,542
1753619103.861,1356,537
1753619103.861,1370,531
1753619103.876,1385,522
1753619103.885,1402,516
1753619103.885,1421,508
1753619103.892,1443,496
1753619103.906,1468,487
1753619103.908,1493,479
1753619103.926,1517,470
1753619103.927,1542,463
1753619103.932,1561,456
1753619103.939,1580,450
1753619103.946,1599,446
1753619103.946,1613,442
1753619103.956,1625,438
1753619103.956,1636,434
1753619103.971,1645,430
1753619103.971,1657,429
1753619103.987,1665,427
1753619104.002,1677,425
1753619104.002,1685,425
1753619104.005,1696,425
1753619104.005,1704,425
1753619104.018,1710,425
1753619104.018,1713,424
1753619104.043,1713,423
1753619104.052,1707,420
1753619104.056,1695,412
1753619104.065,1672,393
1753619104.065,1632,359
1753619104.082,1571,313
1753619104.082,1501,269
1753619104.094,1416,226
1753619104.096,1327,188
1753619104.112,1240,157
1753619104.112,1154,135
1753619104.112,1069,120
1753619104.128,1001,110
1753619104.129,934,106
1753619104.143,884,108
1753619104.143,839,111
1753619104.16,803,116
1753619104.16,779,121
1753619104.165,760,125
1753619104.177,746,129
1753619104.177,734,133
1753619104.177,728,136
1753619104.474,695,136
1753619104.474,650,139
1753619104.489,520,143
1753619104.489,475,146
1753619104.489,435,148
1753619104.505,401,151
1753619104.505,372,153
1753619104.523,347,155
1753619104.529,326,157
1753619104.536,307,162
1753619104.543,288,164
1753619104.551,269,168
1753619104.556,250,170
1753619104.556,234,172
1753619104.568,217,174
1753619104.568,201,176
1753619104.585,187,178
1753619104.599,173,180
1753619104.599,165,180
1753619104.599,159,180
1753619104.615,153,180
1753619104.615,149,180
1753619104.615,148,180
1753619104.63,145,180
1753619104.647,145,179
1753619104.678,145,179
1753619104.678,148,179
1753619104.694,150,179
1753619104.7,155,179
1753619104.709,163,179
1753619104.709,169,179
1753619104.725,177,179
1753619104.725,185,179
1753619104.741,189,179
1753619104.745,192,179
1753619104.756,193,179
1753619104.788,193,179
1753619104.804,193,178
1753619104.835,193,178
1753619104.851,193,176
1753619104.851,192,176
