RESOLUTION:3120,2080
1753619937.566,2009,1482
1753619937.643,2008,1482
1753619937.687,2008,1481
1753619937.716,2008,1479
1753619937.725,2009,1479
1753619937.738,2008,1479
1753619937.745,2009,1479
1753619937.774,2008,1479
1753619937.781,2008,1478
1753619937.82,2007,1477
1753619937.856,2007,1476
1753619937.952,2006,1476
1753619937.969,2006,1475
1753619938.009,2005,1475
1753619938.017,2005,1474
1753619938.026,2005,1473
1753619938.042,2005,1471
1753619938.054,2005,1470
1753619938.082,2004,1470
1753619938.088,2004,1469
1753619938.12,2003,1469
1753619938.139,2002,1469
1753619938.173,2000,1468
1753619938.22,1999,1468
1753619938.236,1999,1467
1753619938.236,1998,1467
1753619938.243,1998,1466
1753619938.258,1997,1466
1753619938.261,1997,1465
1753619938.284,1996,1465
1753619938.289,1996,1463
1753619938.293,1995,1463
1753619938.307,1995,1462
1753619938.335,1994,1462
1753619938.365,1992,1462
1753619938.367,1992,1461
1753619938.373,1991,1460
1753619938.381,1991,1459
1753619938.398,1990,1459
1753619938.401,1990,1458
1753619938.406,1990,1457
1753619938.417,1989,1457
1753619938.454,1988,1457
1753619938.463,1987,1457
1753619938.478,1986,1457
1753619938.487,1985,1456
1753619938.503,1983,1456
1753619938.505,1982,1456
1753619938.52,1981,1456
1753619938.527,1980,1456
1753619938.527,1979,1456
1753619938.535,1978,1454
1753619938.543,1977,1454
1753619938.553,1975,1454
1753619938.562,1973,1454
1753619938.578,1972,1454
1753619938.588,1971,1454
1753619938.594,1970,1454
1753619938.603,1968,1454
1753619938.605,1967,1454
1753619938.611,1966,1454
1753619938.62,1965,1455
1753619938.637,1964,1455
1753619938.637,1963,1455
1753619938.643,1962,1455
1753619938.655,1960,1455
1753619938.661,1959,1455
1753619938.676,1958,1455
1753619938.684,1957,1455
1753619938.692,1956,1455
1753619938.709,1956,1456
1753619938.717,1955,1456
1753619938.721,1954,1456
1753619938.734,1953,1456
1753619938.741,1951,1456
1753619938.75,1950,1456
1753619938.757,1949,1457
1753619938.763,1948,1457
1753619938.768,1947,1457
1753619938.776,1947,1458
1753619938.788,1946,1458
1753619938.788,1945,1458
1753619938.801,1943,1458
1753619938.808,1943,1459
1753619938.816,1942,1459
1753619938.824,1941,1459
1753619938.834,1941,1460
1753619938.841,1940,1461
1753619938.841,1938,1461
1753619938.854,1936,1462
1753619938.874,1935,1464
1753619938.874,1934,1465
1753619938.874,1933,1465
1753619938.882,1932,1466
1753619938.89,1931,1467
1753619938.901,1930,1467
1753619938.92,1930,1468
1753619938.927,1928,1468
1753619938.954,1928,1469
1753619938.954,1927,1470
1753619938.967,1927,1472
1753619938.969,1926,1472
1753619939.002,1926,1473
1753619939.02,1926,1474
1753619939.036,1925,1474
1753619939.04,1925,1475
1753619939.051,1925,1476
